id,date,title,vol,iss,prev_id,next_id,restricted
sim_notes-and-queries_1850-02-16_1_16,1850-02-16,Notes and Queries  1850-02-16: Vol 1 Iss 16,1,16,sim_notes-and-queries_1850-02-09_1_15,sim_notes-and-queries_1850-02-23_1_17,
sim_notes-and-queries_1850-02-23_1_17,1850-02-23,Notes and Queries  1850-02-23: Vol 1 Iss 17,1,17,sim_notes-and-queries_1850-02-16_1_16,sim_notes-and-queries_1850-03-02_1_18,
sim_notes-and-queries_1850-03-02_1_18,1850-03-02,Notes and Queries  1850-03-02: Vol 1 Iss 18,1,18,sim_notes-and-queries_1850-02-23_1_17,sim_notes-and-queries_1850-03-09_1_19,
sim_notes-and-queries_1850-03-09_1_19,1850-03-09,Notes and Queries  1850-03-09: Vol 1 Iss 19,1,19,sim_notes-and-queries_1850-03-02_1_18,sim_notes-and-queries_1850-03-16_1_20,
sim_notes-and-queries_1850-03-16_1_20,1850-03-16,Notes and Queries  1850-03-16: Vol 1 Iss 20,1,20,sim_notes-and-queries_1850-03-09_1_19,sim_notes-and-queries_1850-03-23_1_21,
sim_notes-and-queries_1850-03-23_1_21,1850-03-23,Notes and Queries  1850-03-23: Vol 1 Iss 21,1,21,sim_notes-and-queries_1850-03-16_1_20,sim_notes-and-queries_1850-03-30_1_22,
sim_notes-and-queries_1850-03-30_1_22,1850-03-30,Notes and Queries  1850-03-30: Vol 1 Iss 22,1,22,sim_notes-and-queries_1850-03-23_1_21,sim_notes-and-queries_1850-04-06_1_23,
sim_notes-and-queries_1850-04-06_1_23,1850-04-06,Notes and Queries  1850-04-06: Vol 1 Iss 23,1,23,sim_notes-and-queries_1850-03-30_1_22,sim_notes-and-queries_1850-04-13_1_24,
sim_notes-and-queries_1850-04-13_1_24,1850-04-13,Notes and Queries  1850-04-13: Vol 1 Iss 24,1,24,sim_notes-and-queries_1850-04-06_1_23,sim_notes-and-queries_1850-04-20_1_25,
sim_notes-and-queries_1850-04-20_1_25,1850-04-20,Notes and Queries  1850-04-20: Vol 1 Iss 25,1,25,sim_notes-and-queries_1850-04-13_1_24,sim_notes-and-queries_1850-04-27_1_26,
sim_notes-and-queries_1850-04-27_1_26,1850-04-27,Notes and Queries  1850-04-27: Vol 1 Iss 26,1,26,sim_notes-and-queries_1850-04-20_1_25,sim_notes-and-queries_1850-05-04_1_27,
sim_notes-and-queries_1850-05-04_1_27,1850-05-04,Notes and Queries  1850-05-04: Vol 1 Iss 27,1,27,sim_notes-and-queries_1850-04-27_1_26,sim_notes-and-queries_1850-05-11_1_28,
sim_notes-and-queries_1850-05-11_1_28,1850-05-11,Notes and Queries  1850-05-11: Vol 1 Iss 28,1,28,sim_notes-and-queries_1850-05-04_1_27,sim_notes-and-queries_1850-05-18_1_29,
sim_notes-and-queries_1850-05-18_1_29,1850-05-18,Notes and Queries  1850-05-18: Vol 1 Iss 29,1,29,sim_notes-and-queries_1850-05-11_1_28,sim_notes-and-queries_1850-05-25_1_30,
sim_notes-and-queries_1850-05-25_1_30,1850-05-25,Notes and Queries  1850-05-25: Vol 1 Iss 30,1,30,sim_notes-and-queries_1850-05-18_1_29,sim_notes-and-queries_1850_2_index,
sim_notes-and-queries_1850-06-01_2_31,1850-06-01,Notes and Queries  1850-06-01: Vol 2 Iss 31,2,31,sim_notes-and-queries_1850_2_index,sim_notes-and-queries_1850-06-08_2_32,
sim_notes-and-queries_1850-06-08_2_32,1850-06-08,Notes and Queries  1850-06-08: Vol 2 Iss 32,2,32,sim_notes-and-queries_1850-06-01_2_31,sim_notes-and-queries_1850-06-15_2_33,
sim_notes-and-queries_1850-06-15_2_33,1850-06-15,Notes and Queries  1850-06-15: Vol 2 Iss 33,2,33,sim_notes-and-queries_1850-06-08_2_32,sim_notes-and-queries_1850-06-22_2_34,
sim_notes-and-queries_1850-06-22_2_34,1850-06-22,Notes and Queries  1850-06-22: Vol 2 Iss 34,2,34,sim_notes-and-queries_1850-06-15_2_33,sim_notes-and-queries_1850-06-29_2_35,
sim_notes-and-queries_1850-06-29_2_35,1850-06-29,Notes and Queries  1850-06-29: Vol 2 Iss 35,2,35,sim_notes-and-queries_1850-06-22_2_34,sim_notes-and-queries_1850-07-06_2_36,
sim_notes-and-queries_1850-07-06_2_36,1850-07-06,Notes and Queries  1850-07-06: Vol 2 Iss 36,2,36,sim_notes-and-queries_1850-06-29_2_35,sim_notes-and-queries_1850-07-13_2_37,
sim_notes-and-queries_1850-07-13_2_37,1850-07-13,Notes and Queries  1850-07-13: Vol 2 Iss 37,2,37,sim_notes-and-queries_1850-07-06_2_36,sim_notes-and-queries_1850-07-20_2_38,
sim_notes-and-queries_1850-07-20_2_38,1850-07-20,Notes and Queries  1850-07-20: Vol 2 Iss 38,2,38,sim_notes-and-queries_1850-07-13_2_37,sim_notes-and-queries_1850-07-27_2_39,
sim_notes-and-queries_1850-07-27_2_39,1850-07-27,Notes and Queries  1850-07-27: Vol 2 Iss 39,2,39,sim_notes-and-queries_1850-07-20_2_38,sim_notes-and-queries_1850-08-03_2_40,
sim_notes-and-queries_1850-08-03_2_40,1850-08-03,Notes and Queries  1850-08-03: Vol 2 Iss 40,2,40,sim_notes-and-queries_1850-07-27_2_39,sim_notes-and-queries_1850-08-10_2_41,
sim_notes-and-queries_1850-08-10_2_41,1850-08-10,Notes and Queries  1850-08-10: Vol 2 Iss 41,2,41,sim_notes-and-queries_1850-08-03_2_40,sim_notes-and-queries_1850-08-17_2_42,
sim_notes-and-queries_1850-08-17_2_42,1850-08-17,Notes and Queries  1850-08-17: Vol 2 Iss 42,2,42,sim_notes-and-queries_1850-08-10_2_41,sim_notes-and-queries_1850-08-24_2_43,
sim_notes-and-queries_1850-08-24_2_43,1850-08-24,Notes and Queries  1850-08-24: Vol 2 Iss 43,2,43,sim_notes-and-queries_1850-08-17_2_42,sim_notes-and-queries_1850-08-31_2_44,
sim_notes-and-queries_1850-08-31_2_44,1850-08-31,Notes and Queries  1850-08-31: Vol 2 Iss 44,2,44,sim_notes-and-queries_1850-08-24_2_43,sim_notes-and-queries_1850-09-07_2_45,
sim_notes-and-queries_1850-09-07_2_45,1850-09-07,Notes and Queries  1850-09-07: Vol 2 Iss 45,2,45,sim_notes-and-queries_1850-08-31_2_44,sim_notes-and-queries_1850-09-14_2_46,
sim_notes-and-queries_1850-09-14_2_46,1850-09-14,Notes and Queries  1850-09-14: Vol 2 Iss 46,2,46,sim_notes-and-queries_1850-09-07_2_45,sim_notes-and-queries_1850-09-21_2_47,
sim_notes-and-queries_1850-09-21_2_47,1850-09-21,Notes and Queries  1850-09-21: Vol 2 Iss 47,2,47,sim_notes-and-queries_1850-09-14_2_46,sim_notes-and-queries_1850-09-28_2_48,
sim_notes-and-queries_1850-09-28_2_48,1850-09-28,Notes and Queries  1850-09-28: Vol 2 Iss 48,2,48,sim_notes-and-queries_1850-09-21_2_47,sim_notes-and-queries_1850-10-05_2_49,
sim_notes-and-queries_1850-10-05_2_49,1850-10-05,Notes and Queries  1850-10-05: Vol 2 Iss 49,2,49,sim_notes-and-queries_1850-09-28_2_48,sim_notes-and-queries_1850-10-12_2_50,
sim_notes-and-queries_1850-10-12_2_50,1850-10-12,Notes and Queries  1850-10-12: Vol 2 Iss 50,2,50,sim_notes-and-queries_1850-10-05_2_49,sim_notes-and-queries_1850-10-19_2_51,
sim_notes-and-queries_1850-10-19_2_51,1850-10-19,Notes and Queries  1850-10-19: Vol 2 Iss 51,2,51,sim_notes-and-queries_1850-10-12_2_50,sim_notes-and-queries_1850-10-26_2_52,
sim_notes-and-queries_1850-10-26_2_52,1850-10-26,Notes and Queries  1850-10-26: Vol 2 Iss 52,2,52,sim_notes-and-queries_1850-10-19_2_51,sim_notes-and-queries_1850-11-02_2_53,
sim_notes-and-queries_1850-11-02_2_53,1850-11-02,Notes and Queries  1850-11-02: Vol 2 Iss 53,2,53,sim_notes-and-queries_1850-10-26_2_52,sim_notes-and-queries_1850-11-09_2_54,
sim_notes-and-queries_1850-11-09_2_54,1850-11-09,Notes and Queries  1850-11-09: Vol 2 Iss 54,2,54,sim_notes-and-queries_1850-11-02_2_53,sim_notes-and-queries_1850-11-16_2_55,
sim_notes-and-queries_1850-11-16_2_55,1850-11-16,Notes and Queries  1850-11-16: Vol 2 Iss 55,2,55,sim_notes-and-queries_1850-11-09_2_54,sim_notes-and-queries_1850-11-23_2_56,
sim_notes-and-queries_1850-11-23_2_56,1850-11-23,Notes and Queries  1850-11-23: Vol 2 Iss 56,2,56,sim_notes-and-queries_1850-11-16_2_55,sim_notes-and-queries_1850-11-30_2_57,
sim_notes-and-queries_1850-11-30_2_57,1850-11-30,Notes and Queries  1850-11-30: Vol 2 Iss 57,2,57,sim_notes-and-queries_1850-11-23_2_56,sim_notes-and-queries_1850-12-07_2_58,
sim_notes-and-queries_1850-12-07_2_58,1850-12-07,Notes and Queries  1850-12-07: Vol 2 Iss 58,2,58,sim_notes-and-queries_1850-11-30_2_57,sim_notes-and-queries_1850-12-14_2_59,
sim_notes-and-queries_1850-12-14_2_59,1850-12-14,Notes and Queries  1850-12-14: Vol 2 Iss 59,2,59,sim_notes-and-queries_1850-12-07_2_58,sim_notes-and-queries_1850-12-21_2_60,
sim_notes-and-queries_1850-12-21_2_60,1850-12-21,Notes and Queries  1850-12-21: Vol 2 Iss 60,2,60,sim_notes-and-queries_1850-12-14_2_59,sim_notes-and-queries_1850-12-28_2_61,
sim_notes-and-queries_1850-12-28_2_61,1850-12-28,Notes and Queries  1850-12-28: Vol 2 Iss 61,2,61,sim_notes-and-queries_1850-12-21_2_60,sim_notes-and-queries_1851_3_index,
sim_notes-and-queries_1850_2_index,1850,Notes and Queries  1850: Vol 2 Index,2,Index,sim_notes-and-queries_1850-05-25_1_30,sim_notes-and-queries_1850-06-01_2_31,
sim_notes-and-queries_1851-01-04_3_62,1851-01-04,Notes and Queries  1851-01-04: Vol 3 Iss 62,3,62,sim_notes-and-queries_1851_3_index,sim_notes-and-queries_1851-01-11_3_63,
sim_notes-and-queries_1851-01-11_3_63,1851-01-11,Notes and Queries  1851-01-11: Vol 3 Iss 63,3,63,sim_notes-and-queries_1851-01-04_3_62,sim_notes-and-queries_1851-01-18_3_64,
sim_notes-and-queries_1851-01-18_3_64,1851-01-18,Notes and Queries  1851-01-18: Vol 3 Iss 64,3,64,sim_notes-and-queries_1851-01-11_3_63,sim_notes-and-queries_1851-01-25_3_65,
sim_notes-and-queries_1851-01-25_3_65,1851-01-25,Notes and Queries  1851-01-25: Vol 3 Iss 65,3,65,sim_notes-and-queries_1851-01-18_3_64,sim_notes-and-queries_1851-02-01_3_66,
sim_notes-and-queries_1851-02-01_3_66,1851-02-01,Notes and Queries  1851-02-01: Vol 3 Iss 66,3,66,sim_notes-and-queries_1851-01-25_3_65,sim_notes-and-queries_1851-02-08_3_67,
sim_notes-and-queries_1851-02-08_3_67,1851-02-08,Notes and Queries  1851-02-08: Vol 3 Iss 67,3,67,sim_notes-and-queries_1851-02-01_3_66,sim_notes-and-queries_1851-02-15_3_68,
sim_notes-and-queries_1851-02-15_3_68,1851-02-15,Notes and Queries  1851-02-15: Vol 3 Iss 68,3,68,sim_notes-and-queries_1851-02-08_3_67,sim_notes-and-queries_1851-02-22_3_69,
sim_notes-and-queries_1851-02-22_3_69,1851-02-22,Notes and Queries  1851-02-22: Vol 3 Iss 69,3,69,sim_notes-and-queries_1851-02-15_3_68,sim_notes-and-queries_1851-03-01_3_70,
sim_notes-and-queries_1851-03-01_3_70,1851-03-01,Notes and Queries  1851-03-01: Vol 3 Iss 70,3,70,sim_notes-and-queries_1851-02-22_3_69,sim_notes-and-queries_1851-03-08_3_71,
sim_notes-and-queries_1851-03-08_3_71,1851-03-08,Notes and Queries  1851-03-08: Vol 3 Iss 71,3,71,sim_notes-and-queries_1851-03-01_3_70,sim_notes-and-queries_1851-03-15_3_72,
sim_notes-and-queries_1851-03-15_3_72,1851-03-15,Notes and Queries  1851-03-15: Vol 3 Iss 72,3,72,sim_notes-and-queries_1851-03-08_3_71,sim_notes-and-queries_1851-03-22_3_73,
sim_notes-and-queries_1851-03-22_3_73,1851-03-22,Notes and Queries  1851-03-22: Vol 3 Iss 73,3,73,sim_notes-and-queries_1851-03-15_3_72,sim_notes-and-queries_1851-03-29_3_74,
sim_notes-and-queries_1851-03-29_3_74,1851-03-29,Notes and Queries  1851-03-29: Vol 3 Iss 74,3,74,sim_notes-and-queries_1851-03-22_3_73,sim_notes-and-queries_1851-04-05_3_75,
sim_notes-and-queries_1851-04-05_3_75,1851-04-05,Notes and Queries  1851-04-05: Vol 3 Iss 75,3,75,sim_notes-and-queries_1851-03-29_3_74,sim_notes-and-queries_1851-04-12_3_76,
sim_notes-and-queries_1851-04-12_3_76,1851-04-12,Notes and Queries  1851-04-12: Vol 3 Iss 76,3,76,sim_notes-and-queries_1851-04-05_3_75,sim_notes-and-queries_1851-04-19_3_77,
sim_notes-and-queries_1851-04-19_3_77,1851-04-19,Notes and Queries  1851-04-19: Vol 3 Iss 77,3,77,sim_notes-and-queries_1851-04-12_3_76,sim_notes-and-queries_1851-04-26_3_78,
sim_notes-and-queries_1851-04-26_3_78,1851-04-26,Notes and Queries  1851-04-26: Vol 3 Iss 78,3,78,sim_notes-and-queries_1851-04-19_3_77,sim_notes-and-queries_1851-05-03_3_79,
sim_notes-and-queries_1851-05-03_3_79,1851-05-03,Notes and Queries  1851-05-03: Vol 3 Iss 79,3,79,sim_notes-and-queries_1851-04-26_3_78,sim_notes-and-queries_1851-05-10_3_80,
sim_notes-and-queries_1851-05-10_3_80,1851-05-10,Notes and Queries  1851-05-10: Vol 3 Iss 80,3,80,sim_notes-and-queries_1851-05-03_3_79,sim_notes-and-queries_1851-05-17_3_81,
sim_notes-and-queries_1851-05-17_3_81,1851-05-17,Notes and Queries  1851-05-17: Vol 3 Iss 81,3,81,sim_notes-and-queries_1851-05-10_3_80,sim_notes-and-queries_1851-05-24_3_82,
sim_notes-and-queries_1851-05-24_3_82,1851-05-24,Notes and Queries  1851-05-24: Vol 3 Iss 82,3,82,sim_notes-and-queries_1851-05-17_3_81,sim_notes-and-queries_1851-05-31_3_83,
sim_notes-and-queries_1851-05-31_3_83,1851-05-31,Notes and Queries  1851-05-31: Vol 3 Iss 83,3,83,sim_notes-and-queries_1851-05-24_3_82,sim_notes-and-queries_1851-06-07_3_84,
sim_notes-and-queries_1851-06-07_3_84,1851-06-07,Notes and Queries  1851-06-07: Vol 3 Iss 84,3,84,sim_notes-and-queries_1851-05-31_3_83,sim_notes-and-queries_1851-06-14_3_85,
sim_notes-and-queries_1851-06-14_3_85,1851-06-14,Notes and Queries  1851-06-14: Vol 3 Iss 85,3,85,sim_notes-and-queries_1851-06-07_3_84,sim_notes-and-queries_1851-06-21_3_86,
sim_notes-and-queries_1851-06-21_3_86,1851-06-21,Notes and Queries  1851-06-21: Vol 3 Iss 86,3,86,sim_notes-and-queries_1851-06-14_3_85,sim_notes-and-queries_1851-06-28_3_87,
sim_notes-and-queries_1851-06-28_3_87,1851-06-28,Notes and Queries  1851-06-28: Vol 3 Iss 87,3,87,sim_notes-and-queries_1851-06-21_3_86,sim_notes-and-queries_1851_4_index,
sim_notes-and-queries_1851-07-05_4_88,1851-07-05,Notes and Queries  1851-07-05: Vol 4 Iss 88,4,88,sim_notes-and-queries_1851_4_index,sim_notes-and-queries_1851-07-12_4_89,
sim_notes-and-queries_1851-07-12_4_89,1851-07-12,Notes and Queries  1851-07-12: Vol 4 Iss 89,4,89,sim_notes-and-queries_1851-07-05_4_88,sim_notes-and-queries_1851-07-19_4_90,
sim_notes-and-queries_1851-07-19_4_90,1851-07-19,Notes and Queries  1851-07-19: Vol 4 Iss 90,4,90,sim_notes-and-queries_1851-07-12_4_89,sim_notes-and-queries_1851-07-26_4_91,
sim_notes-and-queries_1851-07-26_4_91,1851-07-26,Notes and Queries  1851-07-26: Vol 4 Iss 91,4,91,sim_notes-and-queries_1851-07-19_4_90,sim_notes-and-queries_1851-08-02_4_92,
sim_notes-and-queries_1851-08-02_4_92,1851-08-02,Notes and Queries  1851-08-02: Vol 4 Iss 92,4,92,sim_notes-and-queries_1851-07-26_4_91,sim_notes-and-queries_1851-08-09_4_93,
sim_notes-and-queries_1851-08-09_4_93,1851-08-09,Notes and Queries  1851-08-09: Vol 4 Iss 93,4,93,sim_notes-and-queries_1851-08-02_4_92,sim_notes-and-queries_1851-08-16_4_94,
sim_notes-and-queries_1851-08-16_4_94,1851-08-16,Notes and Queries  1851-08-16: Vol 4 Iss 94,4,94,sim_notes-and-queries_1851-08-09_4_93,sim_notes-and-queries_1851-08-23_4_95,
sim_notes-and-queries_1851-08-23_4_95,1851-08-23,Notes and Queries  1851-08-23: Vol 4 Iss 95,4,95,sim_notes-and-queries_1851-08-16_4_94,sim_notes-and-queries_1851-08-30_4_96,
sim_notes-and-queries_1851-08-30_4_96,1851-08-30,Notes and Queries  1851-08-30: Vol 4 Iss 96,4,96,sim_notes-and-queries_1851-08-23_4_95,sim_notes-and-queries_1851-09-06_4_97,
sim_notes-and-queries_1851-09-06_4_97,1851-09-06,Notes and Queries  1851-09-06: Vol 4 Iss 97,4,97,sim_notes-and-queries_1851-08-30_4_96,sim_notes-and-queries_1851-09-13_4_98,
sim_notes-and-queries_1851-09-13_4_98,1851-09-13,Notes and Queries  1851-09-13: Vol 4 Iss 98,4,98,sim_notes-and-queries_1851-09-06_4_97,sim_notes-and-queries_1851-09-20_4_99,
sim_notes-and-queries_1851-09-20_4_99,1851-09-20,Notes and Queries  1851-09-20: Vol 4 Iss 99,4,99,sim_notes-and-queries_1851-09-13_4_98,sim_notes-and-queries_1851-09-27_4_100,
sim_notes-and-queries_1851-09-27_4_100,1851-09-27,Notes and Queries  1851-09-27: Vol 4 Iss 100,4,100,sim_notes-and-queries_1851-09-20_4_99,sim_notes-and-queries_1851-10-04_4_101,
sim_notes-and-queries_1851-10-04_4_101,1851-10-04,Notes and Queries  1851-10-04: Vol 4 Iss 101,4,101,sim_notes-and-queries_1851-09-27_4_100,sim_notes-and-queries_1851-10-11_4_102,
sim_notes-and-queries_1851-10-11_4_102,1851-10-11,Notes and Queries  1851-10-11: Vol 4 Iss 102,4,102,sim_notes-and-queries_1851-10-04_4_101,sim_notes-and-queries_1851-10-18_4_103,
sim_notes-and-queries_1851-10-18_4_103,1851-10-18,Notes and Queries  1851-10-18: Vol 4 Iss 103,4,103,sim_notes-and-queries_1851-10-11_4_102,sim_notes-and-queries_1851-10-25_4_104,
sim_notes-and-queries_1851-10-25_4_104,1851-10-25,Notes and Queries  1851-10-25: Vol 4 Iss 104,4,104,sim_notes-and-queries_1851-10-18_4_103,sim_notes-and-queries_1851-11-01_4_105,
sim_notes-and-queries_1851-11-01_4_105,1851-11-01,Notes and Queries  1851-11-01: Vol 4 Iss 105,4,105,sim_notes-and-queries_1851-10-25_4_104,sim_notes-and-queries_1851-11-08_4_106,
sim_notes-and-queries_1851-11-08_4_106,1851-11-08,Notes and Queries  1851-11-08: Vol 4 Iss 106,4,106,sim_notes-and-queries_1851-11-01_4_105,sim_notes-and-queries_1851-11-15_4_107,
sim_notes-and-queries_1851-11-15_4_107,1851-11-15,Notes and Queries  1851-11-15: Vol 4 Iss 107,4,107,sim_notes-and-queries_1851-11-08_4_106,sim_notes-and-queries_1851-11-22_4_108,
sim_notes-and-queries_1851-11-22_4_108,1851-11-22,Notes and Queries  1851-11-22: Vol 4 Iss 108,4,108,sim_notes-and-queries_1851-11-15_4_107,sim_notes-and-queries_1851-11-29_4_109,
sim_notes-and-queries_1851-11-29_4_109,1851-11-29,Notes and Queries  1851-11-29: Vol 4 Iss 109,4,109,sim_notes-and-queries_1851-11-22_4_108,sim_notes-and-queries_1851-12-06_4_110,
sim_notes-and-queries_1851-12-06_4_110,1851-12-06,Notes and Queries  1851-12-06: Vol 4 Iss 110,4,110,sim_notes-and-queries_1851-11-29_4_109,sim_notes-and-queries_1851-12-13_4_111,
sim_notes-and-queries_1851-12-13_4_111,1851-12-13,Notes and Queries  1851-12-13: Vol 4 Iss 111,4,111,sim_notes-and-queries_1851-12-06_4_110,sim_notes-and-queries_1851-12-20_4_112,
sim_notes-and-queries_1851-12-20_4_112,1851-12-20,Notes and Queries  1851-12-20: Vol 4 Iss 112,4,112,sim_notes-and-queries_1851-12-13_4_111,sim_notes-and-queries_1851-12-27_4_113,
sim_notes-and-queries_1851-12-27_4_113,1851-12-27,Notes and Queries  1851-12-27: Vol 4 Iss 113,4,113,sim_notes-and-queries_1851-12-20_4_112,sim_notes-and-queries_1852_5_index,
sim_notes-and-queries_1851_3_index,1851,Notes and Queries  1851: Vol 3 Index,3,Index,sim_notes-and-queries_1850-12-28_2_61,sim_notes-and-queries_1851-01-04_3_62,
sim_notes-and-queries_1851_4_index,1851,Notes and Queries  1851: Vol 4 Index,4,Index,sim_notes-and-queries_1851-06-28_3_87,sim_notes-and-queries_1851-07-05_4_88,
sim_notes-and-queries_1852-01-03_5_114,1852-01-03,Notes and Queries  1852-01-03: Vol 5 Iss 114,5,114,sim_notes-and-queries_1852_5_index,sim_notes-and-queries_1852-01-10_5_115,
sim_notes-and-queries_1852-01-10_5_115,1852-01-10,Notes and Queries  1852-01-10: Vol 5 Iss 115,5,115,sim_notes-and-queries_1852-01-03_5_114,sim_notes-and-queries_1852-01-17_5_116,
sim_notes-and-queries_1852-01-17_5_116,1852-01-17,Notes and Queries  1852-01-17: Vol 5 Iss 116,5,116,sim_notes-and-queries_1852-01-10_5_115,sim_notes-and-queries_1852-01-24_5_117,
sim_notes-and-queries_1852-01-24_5_117,1852-01-24,Notes and Queries  1852-01-24: Vol 5 Iss 117,5,117,sim_notes-and-queries_1852-01-17_5_116,sim_notes-and-queries_1852-01-31_5_118,
sim_notes-and-queries_1852-01-31_5_118,1852-01-31,Notes and Queries  1852-01-31: Vol 5 Iss 118,5,118,sim_notes-and-queries_1852-01-24_5_117,sim_notes-and-queries_1852-02-07_5_119,
sim_notes-and-queries_1852-02-07_5_119,1852-02-07,Notes and Queries  1852-02-07: Vol 5 Iss 119,5,119,sim_notes-and-queries_1852-01-31_5_118,sim_notes-and-queries_1852-02-14_5_120,
sim_notes-and-queries_1852-02-14_5_120,1852-02-14,Notes and Queries  1852-02-14: Vol 5 Iss 120,5,120,sim_notes-and-queries_1852-02-07_5_119,sim_notes-and-queries_1852-02-21_5_121,
sim_notes-and-queries_1852-02-21_5_121,1852-02-21,Notes and Queries  1852-02-21: Vol 5 Iss 121,5,121,sim_notes-and-queries_1852-02-14_5_120,sim_notes-and-queries_1852-02-28_5_122,
sim_notes-and-queries_1852-02-28_5_122,1852-02-28,Notes and Queries  1852-02-28: Vol 5 Iss 122,5,122,sim_notes-and-queries_1852-02-21_5_121,sim_notes-and-queries_1852-03-06_5_123,
sim_notes-and-queries_1852-03-06_5_123,1852-03-06,Notes and Queries  1852-03-06: Vol 5 Iss 123,5,123,sim_notes-and-queries_1852-02-28_5_122,sim_notes-and-queries_1852-03-13_5_124,
sim_notes-and-queries_1852-03-13_5_124,1852-03-13,Notes and Queries  1852-03-13: Vol 5 Iss 124,5,124,sim_notes-and-queries_1852-03-06_5_123,sim_notes-and-queries_1852-03-20_5_125,
sim_notes-and-queries_1852-03-20_5_125,1852-03-20,Notes and Queries  1852-03-20: Vol 5 Iss 125,5,125,sim_notes-and-queries_1852-03-13_5_124,sim_notes-and-queries_1852-03-27_5_126,
sim_notes-and-queries_1852-03-27_5_126,1852-03-27,Notes and Queries  1852-03-27: Vol 5 Iss 126,5,126,sim_notes-and-queries_1852-03-20_5_125,sim_notes-and-queries_1852-04-03_5_127,
sim_notes-and-queries_1852-04-03_5_127,1852-04-03,Notes and Queries  1852-04-03: Vol 5 Iss 127,5,127,sim_notes-and-queries_1852-03-27_5_126,sim_notes-and-queries_1852-04-10_5_128,
sim_notes-and-queries_1852-04-10_5_128,1852-04-10,Notes and Queries  1852-04-10: Vol 5 Iss 128,5,128,sim_notes-and-queries_1852-04-03_5_127,sim_notes-and-queries_1852-04-17_5_129,
sim_notes-and-queries_1852-04-17_5_129,1852-04-17,Notes and Queries  1852-04-17: Vol 5 Iss 129,5,129,sim_notes-and-queries_1852-04-10_5_128,sim_notes-and-queries_1852-04-24_5_130,
